Symbol,Name,Industry,Sector,Exchange,Cap mln,Last,Change,Change %,Volume
ADUS,Addus Homecare Corpo,Home Health Care,Healthcare,NASDAQ,836,66.89,-0.30,-0.45,5789
AMED,Amedisys Inc,Home Health Care,Healthcare,NASDAQ,3890,116.84,-0.48,-0.41,38967
BAND,Bandwidth Inc,Wireless Communications,Technology,NASDAQ,1020,49.97,0.26,0.52,7373
BPOP,Popular Inc,Foreign Regional Banks,Financial,NASDAQ,5240,50.975,-0.21,-0.41,95815
CA,CA Inc,Business Software & Services,Technology,NASDAQ,18420,43.165,0.34,0.79,1266652
CWAY,Coastway Bancorp Inc,Regional - Northeast Banks,Financial,NASDAQ,124,28.24,0.02,0.07,1205
CYBR,Cyberark Soft Ord,Business Software & Services,Technology,NASDAQ,2640,69.98,1.83,2.69,80534
DTUS,Ipath Treasury 2-Year Bear ETN,Banks,Financial,NASDAQ,6,41.588,-0.41,-0.98,3112
EACQ,Easterly Acq,Conglomerates,Conglomerates,NASDAQ,68,13.59,3.19,30.67,20
EPAY,Bottomline Tech In,Business Software & Services,Technology,NASDAQ,2710,64.11,0.13,0.20,50717
